Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,612.71,466.00,2211.30,3,0,1,0,0,0,5,0,1,0.5,24
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,69844200.92,4723385.42,5451110.00,157172,0,202,0,178,0,389429,0,16161,0.7249876931755914,617352
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,0.00,48924335.68,126849510.00,104216,0,197,0,180,0,254144,0,11208,0.6893542334654508,433068
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,153.19,41761293.10,150839448.00,90449,0,101,0,92,0,215700,0,9143,0.7108810004763969,379680
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,11070273.28,30434471.84,165173128.00,90061,0,101,0,107,0,214175,0,9037,0.7139552568902625,379140
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,0.00,25068762.94,34141163.63,54952,0,78,0,101,0,128657,0,7894,0.724946479527665,247692
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,0.00,24758699.84,42019523.14,54426,0,128,0,145,0,126712,0,7912,0.7214320722308439,248496
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,6445442.89,18347065.45,51545578.39,54473,0,96,0,119,0,127049,0,7899,0.7200583515681984,246780
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,29226245.78,0.00,0,63207,0,267,0,242,0,150269,6202,0.724292909928523,264072
